turns,white_rating,black_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,rated_cod
13,1500,1191,5,2,2,110,248,1387,110,181,0
16,1322,1261,4,3,0,298,71,750,74,263,1
61,1496,1500,3,1,2,298,171,650,61,299,1
61,1439,1454,3,1,2,187,241,992,94,610,1
95,1523,1469,5,1,2,247,192,783,83,612,1
5,1250,1002,4,0,1,19,96,1292,109,354,0
33,1520,1423,10,3,2,19,239,91,11,419,1
9,1413,2108,5,3,0,114,71,752,74,263,0
66,1439,1392,6,3,0,102,201,503,52,476,1
119,1381,1209,4,1,2,19,72,1141,104,337,1
39,1381,1272,1,1,2,205,0,1433,121,612,0
38,1381,1867,9,3,0,205,154,323,38,18,0
60,1381,1936,3,3,0,310,152,352,38,282,0
31,1381,1607,2,3,0,361,152,311,38,0,0
31,1094,1141,8,1,2,108,201,297,36,248,0
43,1141,1094,7,3,0,108,208,518,52,569,0
52,1094,1141,8,3,0,108,201,297,36,248,0
66,1141,1094,8,1,0,109,201,297,36,248,0
101,1094,1300,5,3,0,108,192,785,83,1,0
25,1500,1094,2,3,2,43,239,961,94,612,0
14,1094,1676,6,3,0,108,206,463,52,47,0
3,1094,1068,2,3,2,255,36,433,48,612,0
17,1500,1094,3,3,2,117,90,1208,109,99,0
36,1307,1106,4,3,2,19,24,257,33,274,1
13,1113,1423,3,3,0,19,91,1351,109,504,1
69,1078,1219,4,1,2,21,240,967,94,132,1
43,1825,1079,8,3,2,21,196,1158,106,232,1
54,1328,1038,4,1,0,21,240,967,94,132,1
53,1056,1156,4,3,0,21,248,1377,110,612,1
66,1077,1148,4,1,0,21,245,943,90,322,1
64,1358,1036,3,3,0,21,91,1351,109,504,1
64,1200,1002,6,1,0,21,119,1211,109,115,1
54,1203,1019,3,3,2,21,96,1194,109,612,1
21,1019,1500,6,3,0,113,258,855,90,125,0
11,1422,975,3,3,2,150,90,1208,109,99,0
19,976,1832,4,3,0,19,77,1010,99,612,1
28,1569,978,10,3,2,19,239,93,11,552,1
22,978,1500,2,3,0,102,41,443,50,612,0
37,1500,978,17,3,2,102,134,1239,109,166,0
34,2449,978,3,3,2,248,20,258,33,274,0
32,1207,978,10,0,1,198,127,1227,109,166,0
71,1241,978,3,3,0,311,93,1219,109,141,0
30,1500,978,3,3,2,236,91,1351,109,504,0
66,2443,978,17,3,2,284,133,1240,109,166,0
