turns,white_rating,black_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,rated_cod
61,1919,1798,2,3,2,19,61,191,1
86,1195,1123,4,1,0,19,191,665,1
27,1867,1932,9,3,0,28,103,1197,1
37,1371,1193,3,3,2,19,171,650,1
52,1415,1431,6,2,0,19,213,1121,1
121,1817,1839,5,3,2,19,99,1314,1
28,1152,1246,2,1,0,187,90,1194,1
34,1216,1523,4,3,0,315,192,784,1
50,1196,1549,2,1,0,315,77,682,1
8,1576,1636,5,3,0,19,0,435,1
17,1586,1473,5,3,2,19,241,976,1
104,1340,1433,2,3,0,19,239,961,1
119,1951,1894,1,3,2,311,10,215,1
96,1931,1790,4,2,0,19,78,806,1
50,1294,1804,9,1,0,315,201,494,1
58,1461,1455,3,1,0,19,171,655,1
66,1697,1770,10,3,0,102,154,316,1
85,1902,1706,4,1,2,19,99,1324,1
45,1810,1700,9,3,0,19,204,471,1
23,1506,1476,7,3,2,108,268,890,1
70,1029,1753,1,1,0,19,307,27,1
45,1513,1197,5,1,2,102,311,445,1
23,1553,1008,4,3,2,236,192,784,1
117,1595,1583,5,1,2,26,211,1036,1
33,1930,1850,10,3,2,102,101,1261,1
118,1838,1846,3,3,0,56,239,977,1
55,1767,1713,1,3,2,19,0,434,1
51,1749,1716,7,3,2,19,204,466,1
59,1821,1620,3,1,2,102,83,111,1
67,2021,1921,4,3,2,19,191,647,1
53,1459,1191,4,2,2,19,117,1194,1
67,1042,1159,3,2,2,54,1,740,1
27,1328,1500,5,3,2,361,197,1415,0
52,1543,2087,1,1,0,19,0,677,1
21,1756,1569,4,1,2,187,191,643,1
46,1356,1491,2,0,1,356,72,1125,1
25,1636,1417,4,3,2,104,0,181,0
71,2099,1829,4,1,2,189,8,585,1
125,1832,1773,3,2,2,102,90,1370,1
70,1461,1833,5,3,0,19,193,1034,0
64,1806,2009,5,1,0,19,77,687,1
53,2154,2010,3,3,2,236,92,1202,1
60,1622,1842,10,3,0,108,154,316,1
64,1158,1306,3,1,0,19,71,656,1
70,1565,1536,5,3,0,28,172,183,1
20,1299,991,3,3,2,117,171,661,1
74,1744,1801,9,3,0,300,111,1263,1
93,1459,1461,3,3,0,194,90,1208,1
146,1977,1816,2,3,0,213,28,269,0
92,1655,1604,2,3,0,108,171,639,1
33,1466,1303,7,3,2,117,219,1074,1
28,1858,1701,7,3,0,264,153,397,0
70,1706,1983,5,1,0,108,241,976,1
53,1990,1678,2,1,2,102,4,1465,1
100,1349,1267,4,1,0,187,73,21,1
43,2156,1621,5,3,2,108,45,454,0
81,1490,1317,6,3,0,37,201,503,1
141,1445,1649,3,1,2,197,171,660,1
116,1729,1639,3,3,0,189,92,1202,1
2,1409,1723,2,3,2,187,171,639,1
41,1477,1314,3,1,2,65,171,282,1
87,1582,1656,3,2,2,19,174,67,1
55,1615,1662,3,2,2,108,152,359,1
40,1499,1501,2,1,0,19,19,247,1
62,1811,1955,8,3,0,19,196,1154,1
45,1903,1787,2,3,2,361,36,682,1
57,1525,1524,8,1,2,187,79,819,0
39,1758,1649,8,1,2,19,201,495,1
48,1500,1663,3,1,0,260,90,1208,0
139,1370,1226,1,3,2,2,0,1433,1
40,1500,1365,2,1,0,315,4,1004,0
83,1715,1721,4,3,2,102,72,1143,0
68,1550,1556,5,3,0,19,192,783,1
91,1949,1966,3,2,2,361,239,962,1
35,1886,1345,6,1,2,19,259,869,1
45,1500,1259,2,1,2,248,10,238,0
50,1558,1962,5,3,0,19,153,343,1
61,1406,1527,7,1,2,356,268,886,0
32,1162,1830,3,1,0,37,36,291,1
78,986,1289,2,1,0,102,72,1125,1
63,1375,1269,4,3,2,19,191,645,1
106,1010,1730,1,1,0,37,0,677,1
43,2003,1284,5,1,2,19,83,145,1
47,1636,1601,4,1,2,19,72,1141,1
53,1387,1562,2,1,2,222,71,774,1
42,1477,1413,7,3,2,368,78,820,0
99,1395,1367,5,1,2,21,195,1150,0
