turns,white_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_shortname_cod,opening_variation_cod,rated_cod
61,1919,2,3,2,19,29,612,1
86,1195,4,1,0,19,63,612,1
27,1867,9,3,0,28,109,9,1
37,1371,3,3,2,19,61,299,1
52,1415,6,2,0,19,102,535,1
121,1817,5,3,2,19,109,381,1
28,1152,2,1,0,187,109,612,1
34,1216,4,3,0,315,83,0,1
50,1196,2,1,0,315,70,612,1
8,1576,5,3,0,19,49,105,1
17,1586,5,3,2,19,94,309,1
104,1340,2,3,0,19,94,612,1
119,1951,1,3,2,311,33,612,1
96,1931,4,2,0,19,84,612,1
50,1294,9,1,0,315,52,211,1
58,1461,3,1,0,19,61,363,1
66,1697,10,3,0,102,38,18,1
85,1902,4,1,2,19,109,385,1
45,1810,9,3,0,19,52,137,1
23,1506,7,3,2,108,90,229,1
70,1029,1,1,0,19,1,612,1
45,1513,5,1,2,102,50,50,1
23,1553,4,3,2,236,83,0,1
117,1595,5,1,2,26,102,612,1
33,1930,10,3,2,102,109,255,1
118,1838,3,3,0,56,94,326,1
55,1767,1,3,2,19,49,612,1
51,1749,7,3,2,19,52,138,1
59,1821,3,1,2,102,17,612,1
67,2021,4,3,2,19,61,221,1
53,1459,4,2,2,19,109,612,1
67,1042,3,2,2,54,73,349,1
27,1328,5,3,2,361,116,612,0
52,1543,1,1,0,19,68,612,1
21,1756,4,1,2,187,61,110,1
46,1356,2,0,1,356,104,612,1
25,1636,4,3,2,104,24,136,0
71,2099,4,1,2,189,57,612,1
125,1832,3,2,2,102,109,530,1
70,1461,5,3,0,19,101,560,0
64,1806,5,1,0,19,70,86,1
53,2154,3,3,2,236,109,28,1
60,1622,10,3,0,108,38,18,1
64,1158,3,1,0,19,61,370,1
70,1565,5,3,0,28,26,612,1
20,1299,3,3,2,117,61,591,1
74,1744,9,3,0,300,109,256,1
93,1459,3,3,0,194,109,99,1
146,1977,2,3,0,213,33,543,0
92,1655,2,3,0,108,61,612,1
33,1466,7,3,2,117,102,181,1
28,1858,7,3,0,264,38,599,0
70,1706,5,1,0,108,94,309,1
53,1990,2,1,2,102,127,432,1
100,1349,4,1,0,187,0,472,1
43,2156,5,3,2,108,50,428,0
81,1490,6,3,0,37,52,476,1
141,1445,3,1,2,197,61,565,1
116,1729,3,3,0,189,109,28,1
2,1409,2,3,2,187,61,612,1
41,1477,3,1,2,65,33,559,1
87,1582,3,2,2,19,10,612,1
55,1615,3,2,2,108,38,377,1
40,1499,2,1,0,19,33,274,1
62,1811,8,3,0,19,106,137,1
45,1903,2,3,2,361,70,612,1
57,1525,8,1,2,187,84,137,0
39,1758,8,1,2,19,52,211,1
48,1500,3,1,0,260,109,99,0
139,1370,1,3,2,2,121,612,1
40,1500,2,1,0,315,97,0,0
83,1715,4,3,2,102,104,349,0
68,1550,5,3,0,19,83,612,1
91,1949,3,2,2,361,94,0,1
35,1886,6,1,2,19,90,459,1
45,1500,2,1,2,248,33,43,0
50,1558,5,3,0,19,38,181,1
61,1406,7,1,2,356,90,181,0
32,1162,3,1,0,37,34,612,1
78,986,2,1,0,102,104,612,1
63,1375,4,3,2,19,61,152,1
106,1010,1,1,0,37,68,612,1
43,2003,5,1,2,19,17,348,1
47,1636,4,1,2,19,104,337,1
53,1387,2,1,2,222,79,612,1
42,1477,7,3,2,368,84,138,0
99,1395,5,1,2,21,106,612,0
40,1374,4,3,0,19,61,330,1
20,1073,4,3,0,19,55,612,1
85,1737,6,3,2,19,109,28,1
89,1566,1,3,2,19,93,612,1
40,1560,5,1,0,103,90,130,1
95,1562,6,3,0,316,78,553,1
69,2211,5,1,2,37,38,408,1
11,1290,9,3,2,19,102,357,1
141,1799,3,3,0,19,38,377,1
86,1621,10,2,0,19,109,137,1
80,1741,8,2,0,19,109,307,1
67,1639,1,3,0,50,49,612,1
66,1579,1,3,0,26,121,612,1
51,1776,7,3,2,258,38,599,1
41,1300,6,1,2,108,109,115,1
78,2001,6,2,0,315,25,612,1
21,1708,5,3,2,21,101,575,0
33,1678,10,3,2,19,26,612,0
16,1199,1,1,0,379,49,612,1
40,1451,4,3,0,390,61,110,1
93,1507,5,3,2,236,122,333,1
98,1788,4,3,0,19,94,543,1
73,1404,2,0,1,19,9,171,1
79,1638,5,1,2,19,33,274,1
36,1460,4,1,0,253,97,446,1
121,1933,4,2,2,19,30,612,1
76,1508,2,1,0,103,17,612,0
72,1159,5,1,0,391,83,1,1
119,1852,4,0,1,21,109,385,1
58,1504,4,3,0,211,104,337,0
64,1389,2,1,0,19,17,612,1
24,1764,4,3,2,19,109,206,0
129,2113,2,1,2,19,94,612,1
43,1170,3,2,2,19,59,612,1
67,1333,6,3,2,19,40,612,1
35,1854,3,1,2,211,38,282,1
36,1203,1,1,0,19,86,612,1
72,1673,4,1,0,108,90,612,1
63,2062,3,3,2,187,38,282,1
97,1584,5,2,2,361,17,181,0
25,1543,8,3,0,236,36,248,0
43,1742,3,1,2,37,61,370,0
71,1634,1,1,2,361,121,612,1
69,1802,7,0,1,313,83,371,0
44,1886,3,3,0,108,38,277,1
92,1939,6,3,0,110,116,598,1
51,1395,4,3,0,75,61,110,1
67,1460,4,1,2,19,59,377,1
70,1696,1,1,0,311,3,612,1
84,1291,4,3,2,19,109,385,0
55,1693,2,3,2,356,48,612,1
96,1431,8,0,1,200,106,479,1
29,1601,7,1,2,311,36,516,0
83,1518,1,3,2,19,49,612,1
18,1559,2,3,2,19,32,0,0
58,1376,8,3,0,19,36,248,1
70,1950,3,0,1,21,57,612,0
93,1461,4,1,2,311,55,612,1
47,1521,2,1,2,315,127,500,0
89,1949,6,1,2,19,104,314,1
7,1156,3,0,1,19,61,591,1
124,1676,5,3,0,248,110,0,1
101,1908,6,1,2,19,102,77,1
46,1046,3,2,0,19,17,100,1
52,1930,8,3,0,19,109,409,1
90,1616,7,3,0,37,109,128,1
41,1337,3,3,2,19,59,612,1
26,1340,3,3,0,26,61,299,1
46,1654,3,1,0,37,38,533,1
122,1366,5,0,1,19,98,612,1
66,1773,4,2,0,102,104,349,0
86,1391,4,3,0,113,109,141,1
17,1970,6,3,2,19,102,83,0
60,1543,1,3,0,102,121,612,1
119,1949,7,0,1,19,10,575,0
113,1563,7,2,2,187,36,223,0
56,1507,3,3,0,236,38,377,1
97,1559,3,1,2,19,38,282,1
66,1739,7,2,0,312,36,248,1
78,1610,2,1,0,19,48,612,1
102,1206,1,1,0,104,121,612,1
20,1493,4,3,0,19,61,317,0
12,1758,6,3,0,19,52,476,1
47,1366,3,1,2,110,34,612,1
59,2060,7,3,2,311,17,18,1
145,1474,6,1,2,315,102,535,0
89,1579,4,1,2,19,104,337,1
42,1463,1,3,2,19,68,612,1
91,1713,4,3,2,315,10,76,1
11,1315,2,1,2,19,74,612,1
97,1456,3,0,1,19,38,533,1
99,1619,3,2,2,358,84,3,1
21,1289,5,2,2,315,83,1,0
56,1418,3,3,0,19,94,326,1
51,1589,2,3,2,19,127,493,0
43,2081,2,3,2,368,84,2,1
135,1719,4,1,2,110,83,0,1
53,1640,4,3,2,19,90,612,1
96,1528,4,3,0,19,10,76,1
37,1711,4,3,2,377,10,76,1
32,1393,6,3,2,28,122,527,0
52,1879,5,3,0,19,55,612,1
31,1330,3,3,2,236,59,612,0
17,1848,4,3,2,211,109,206,0
51,1709,1,3,2,19,49,612,1
74,1826,3,3,0,28,109,504,1
36,963,3,3,0,329,84,3,0
47,1998,5,3,2,189,83,612,1
84,1331,3,1,0,361,10,612,1
43,1704,7,3,2,19,36,516,1
48,1890,8,3,2,19,17,13,1
10,1277,7,0,1,70,102,181,0
73,1420,9,3,2,300,102,181,0
118,1552,9,3,0,104,90,181,1
121,1238,1,1,2,188,121,612,1
47,2202,3,3,2,361,38,377,1
57,1937,3,3,2,19,57,612,1
94,1721,4,1,0,19,109,612,1
34,1862,6,1,0,19,52,476,1
40,1444,2,1,0,298,9,171,1
77,1635,5,0,1,19,83,612,1
39,1943,2,3,2,19,85,612,1
49,1301,3,1,2,236,109,99,0
11,1498,2,3,2,19,104,612,1
29,1773,3,3,2,315,20,0,1
57,1832,1,1,2,19,73,612,1
50,1340,4,3,2,171,61,591,1
27,1500,2,3,2,288,104,612,0
57,2210,6,3,2,361,33,543,0
64,1988,8,3,0,19,106,479,1
53,1960,2,3,2,19,127,280,1
104,1576,8,3,0,28,109,206,0
49,1906,7,3,2,108,106,612,1
77,2135,1,3,2,19,9,612,1
75,1401,6,0,1,374,38,465,1
76,1515,1,3,0,102,121,612,1
49,1346,4,1,2,19,63,612,1
47,1631,8,3,0,236,52,179,1
81,1094,4,1,2,108,122,606,1
54,1695,5,1,0,19,94,309,1
73,1976,3,1,2,315,38,277,1
90,1512,8,1,0,19,106,137,1
86,1540,2,3,0,187,76,612,1
53,1680,4,3,0,19,109,385,1
27,1492,5,1,2,368,63,342,1
111,1383,4,1,2,19,61,591,1
16,1730,8,3,0,248,109,307,1
29,1580,5,3,2,19,61,554,1
12,1681,4,3,0,19,109,612,1
139,1736,2,0,1,19,76,612,1
103,1729,7,0,1,19,109,392,1
48,1429,2,3,0,108,70,612,1
30,1518,6,3,2,361,83,310,1
36,1727,3,3,0,102,38,277,1
26,1471,2,3,0,315,38,0,1
49,1500,4,1,2,370,61,110,0
89,1577,3,3,2,19,10,612,1
136,2046,2,2,0,19,48,612,1
52,1516,2,1,0,19,93,612,1
90,1565,3,1,0,19,109,99,1
37,1845,1,3,2,311,93,612,1
89,1359,3,1,2,19,61,591,1
60,1285,3,1,0,19,122,612,1
107,1833,4,3,2,108,97,446,1
44,1416,2,3,2,19,109,612,1
7,1573,2,2,2,19,70,612,1
60,1688,8,1,0,103,83,181,1
30,1789,4,3,0,253,109,241,1
49,1792,5,3,2,113,94,144,1
27,1425,4,3,2,108,74,200,1
27,1431,6,3,2,37,90,129,1
41,1617,5,3,2,19,83,1,1
65,1392,2,1,2,18,14,612,0
20,1545,3,3,0,234,38,282,1
93,1455,2,3,2,102,32,0,1
49,1419,2,2,2,19,33,274,1
60,1072,1,1,0,203,68,612,1
38,1807,9,3,0,19,52,137,0
17,1742,6,1,2,187,52,47,1
71,1609,4,3,2,19,109,385,1
67,1567,8,3,2,102,52,569,1
31,1511,3,3,2,341,84,3,1
58,1655,5,3,0,19,58,377,1
31,1800,4,1,2,315,96,501,1
61,2191,5,1,2,56,94,309,1
111,1503,3,3,2,19,50,410,1
113,1174,2,3,2,311,38,0,1
106,2150,2,3,0,361,70,612,1
71,1864,3,3,0,19,109,504,1
29,1352,4,3,2,311,94,132,0
31,1684,6,3,2,37,55,612,1
17,1700,8,3,2,41,106,137,1
70,1285,5,1,0,19,66,612,0
81,1500,8,3,2,377,33,22,1
53,1473,6,3,2,236,102,612,1
47,1307,4,1,2,28,94,132,1
56,1533,7,3,2,236,90,129,1
54,1462,4,3,0,236,59,377,1
16,1730,4,3,0,19,109,385,1
11,1309,5,3,2,19,55,262,1
44,1500,2,3,0,54,104,612,1
15,1678,10,1,2,31,26,612,1
105,1397,6,2,2,19,58,612,1
58,1678,2,3,0,110,70,612,1
35,1174,4,3,0,108,90,322,1
